"","window_number","count","start","end","midpoint"
"163","164",107,40750,41000,40875
"164","165",147,41000,41250,41125
"165","166",108,41250,41500,41375
"166","167",147,41500,41750,41625
"167","168",129,41750,42000,41875
"168","169",74,42000,42250,42125
"169","170",171,42250,42500,42375
"170","171",138,42500,42750,42625
"171","172",116,42750,43000,42875
"172","173",151,43000,43250,43125
"173","174",158,43250,43500,43375
"174","175",94,43500,43750,43625
"175","176",125,43750,44000,43875
"176","177",176,44000,44250,44125
"177","178",161,44250,44500,44375
"178","179",129,44500,44750,44625
"179","180",113,44750,45000,44875
"180","181",43,45000,45250,45125
"181","182",49,45250,45500,45375
"182","183",77,45500,45750,45625
"183","184",88,45750,46000,45875
"184","185",39,46000,46250,46125
"185","186",27,46250,46500,46375
"186","187",128,46500,46750,46625
"187","188",163,46750,47000,46875
"188","189",96,47000,47250,47125
"189","190",45,47250,47500,47375
"190","191",28,47500,47750,47625
"191","192",86,47750,48000,47875
"192","193",89,48000,48250,48125
"193","194",129,48250,48500,48375
"194","195",144,48500,48750,48625
"195","196",112,48750,49000,48875
"196","197",81,49000,49250,49125
"197","198",121,49250,49500,49375
"198","199",132,49500,49750,49625
"199","200",144,49750,50000,49875
"200","201",168,50000,50250,50125
"201","202",160,50250,50500,50375
"202","203",164,50500,50750,50625
"203","204",176,50750,51000,50875
"204","205",25,51000,51250,51125
"205","206",40,51250,51500,51375
"206","207",104,51500,51750,51625
"207","208",92,51750,52000,51875
"208","209",26,52000,52250,52125
"209","210",131,52250,52500,52375
"210","211",173,52500,52750,52625
"211","212",195,52750,53000,52875
"212","213",133,53000,53250,53125
"213","214",53,53250,53500,53375
"214","215",68,53500,53750,53625
"215","216",145,53750,54000,53875
"216","217",213,54000,54250,54125
"217","218",195,54250,54500,54375
"218","219",149,54500,54750,54625
"219","220",54,54750,55000,54875
"220","221",52,55000,55250,55125
"221","222",92,55250,55500,55375
"222","223",138,55500,55750,55625
"223","224",194,55750,56000,55875
"224","225",187,56000,56250,56125
"225","226",93,56250,56500,56375
"226","227",67,56500,56750,56625
"227","228",159,56750,57000,56875
"228","229",149,57000,57250,57125
"229","230",119,57250,57500,57375
"230","231",154,57500,57750,57625
"231","232",236,57750,58000,57875
"232","233",157,58000,58250,58125
"233","234",161,58250,58500,58375
"234","235",124,58500,58750,58625
"235","236",77,58750,59000,58875
"236","237",60,59000,59250,59125
"237","238",123,59250,59500,59375
"238","239",143,59500,59750,59625
"239","240",78,59750,60000,59875
"240","241",183,60000,60250,60125
"241","242",116,60250,60500,60375
"242","243",72,60500,60750,60625
"243","244",88,60750,61000,60875
"244","245",81,61000,61250,61125
"245","246",73,61250,61500,61375
"246","247",38,61500,61750,61625
"247","248",97,61750,62000,61875
"248","249",134,62000,62250,62125
"249","250",155,62250,62500,62375
"250","251",155,62500,62750,62625
"251","252",146,62750,63000,62875
"252","253",151,63000,63250,63125
"253","254",105,63250,63500,63375
"254","255",111,63500,63750,63625
"255","256",93,63750,64000,63875
"256","257",68,64000,64250,64125
"257","258",142,64250,64500,64375
"258","259",161,64500,64750,64625
"259","260",159,64750,65000,64875
"260","261",90,65000,65250,65125
"261","262",33,65250,65500,65375
"262","263",107,65500,65750,65625
"263","264",155,65750,66000,65875
"264","265",185,66000,66250,66125
"265","266",176,66250,66500,66375
"266","267",181,66500,66750,66625
"267","268",108,66750,67000,66875
"268","269",114,67000,67250,67125
"269","270",157,67250,67500,67375
"270","271",131,67500,67750,67625
"271","272",81,67750,68000,67875
"272","273",62,68000,68250,68125
"273","274",90,68250,68500,68375
"274","275",193,68500,68750,68625
"275","276",208,68750,69000,68875
"276","277",171,69000,69250,69125
"277","278",157,69250,69500,69375
"278","279",129,69500,69750,69625
"279","280",130,69750,70000,69875
"280","281",111,70000,70250,70125
"281","282",137,70250,70500,70375
"282","283",112,70500,70750,70625
"283","284",130,70750,71000,70875
"284","285",128,71000,71250,71125
"285","286",140,71250,71500,71375
"286","287",170,71500,71750,71625
"287","288",171,71750,72000,71875
"288","289",88,72000,72250,72125
"289","290",97,72250,72500,72375
"290","291",99,72500,72750,72625
"291","292",143,72750,73000,72875
"292","293",144,73000,73250,73125
"293","294",154,73250,73500,73375
"294","295",140,73500,73750,73625
"295","296",132,73750,74000,73875
"296","297",162,74000,74250,74125
"297","298",215,74250,74500,74375
"298","299",164,74500,74750,74625
"299","300",115,74750,75000,74875
"300","301",145,75000,75250,75125
"301","302",138,75250,75500,75375
"302","303",98,75500,75750,75625
"303","304",115,75750,76000,75875
"304","305",60,76000,76250,76125
"305","306",46,76250,76500,76375
"306","307",35,76500,76750,76625
"307","308",95,76750,77000,76875
"308","309",127,77000,77250,77125
"309","310",61,77250,77500,77375
"310","311",83,77500,77750,77625
"311","312",84,77750,78000,77875
"312","313",8,78000,78250,78125
"313","314",73,78250,78500,78375
"314","315",83,78500,78750,78625
"315","316",142,78750,79000,78875
"316","317",179,79000,79250,79125
"317","318",88,79250,79500,79375
"318","319",101,79500,79750,79625
"319","320",112,79750,80000,79875
"320","321",127,80000,80250,80125
"321","322",139,80250,80500,80375
"322","323",181,80500,80750,80625
"323","324",166,80750,81000,80875
"324","325",159,81000,81250,81125
"325","326",85,81250,81500,81375
"326","327",127,81500,81750,81625
"327","328",157,81750,82000,81875
"328","329",104,82000,82250,82125
"329","330",105,82250,82500,82375
"330","331",124,82500,82750,82625
"331","332",133,82750,83000,82875
"332","333",173,83000,83250,83125
"333","334",159,83250,83500,83375
"334","335",136,83500,83750,83625
"335","336",71,83750,84000,83875
"336","337",79,84000,84250,84125
"337","338",177,84250,84500,84375
"338","339",146,84500,84750,84625
"339","340",208,84750,85000,84875
"340","341",179,85000,85250,85125
"341","342",79,85250,85500,85375
"342","343",158,85500,85750,85625
"343","344",144,85750,86000,85875
"344","345",157,86000,86250,86125
"345","346",121,86250,86500,86375
"346","347",101,86500,86750,86625
"347","348",98,86750,87000,86875
"348","349",101,87000,87250,87125
"349","350",163,87250,87500,87375
"350","351",199,87500,87750,87625
"351","352",171,87750,88000,87875
"352","353",109,88000,88250,88125
"353","354",67,88250,88500,88375
"354","355",113,88500,88750,88625
"355","356",194,88750,89000,88875
"356","357",170,89000,89250,89125
"357","358",178,89250,89500,89375
"358","359",206,89500,89750,89625
"359","360",217,89750,90000,89875
"360","361",189,90000,90250,90125
"361","362",120,90250,90500,90375
"362","363",130,90500,90750,90625
"363","364",90,90750,91000,90875
"364","365",190,91000,91250,91125
"365","366",198,91250,91500,91375
"366","367",120,91500,91750,91625
"367","368",89,91750,92000,91875
"368","369",132,92000,92250,92125
"369","370",172,92250,92500,92375
"370","371",209,92500,92750,92625
"371","372",231,92750,93000,92875
"372","373",205,93000,93250,93125
"373","374",181,93250,93500,93375
"374","375",137,93500,93750,93625
"375","376",108,93750,94000,93875
"376","377",85,94000,94250,94125
"377","378",91,94250,94500,94375
"378","379",148,94500,94750,94625
"379","380",127,94750,95000,94875
"380","381",160,95000,95250,95125
"381","382",183,95250,95500,95375
"382","383",148,95500,95750,95625
"383","384",112,95750,96000,95875
"384","385",51,96000,96250,96125
"385","386",88,96250,96500,96375
"386","387",150,96500,96750,96625
"387","388",159,96750,97000,96875
"388","389",163,97000,97250,97125
"389","390",125,97250,97500,97375
"390","391",119,97500,97750,97625
"391","392",148,97750,98000,97875
"392","393",142,98000,98250,98125
"393","394",166,98250,98500,98375
"394","395",195,98500,98750,98625
"395","396",211,98750,99000,98875
"396","397",154,99000,99250,99125
"397","398",173,99250,99500,99375
"398","399",141,99500,99750,99625
"399","400",78,99750,1e+05,99875
"400","401",162,1e+05,100250,100125
"401","402",190,100250,100500,100375
"402","403",189,100500,100750,100625
"403","404",182,100750,101000,100875
"404","405",150,101000,101250,101125
"405","406",111,101250,101500,101375
"406","407",73,101500,101750,101625
"407","408",151,101750,102000,101875
"408","409",181,102000,102250,102125
"409","410",123,102250,102500,102375
"410","411",94,102500,102750,102625
"411","412",155,102750,103000,102875
"412","413",223,103000,103250,103125
"413","414",211,103250,103500,103375
"414","415",137,103500,103750,103625
"415","416",135,103750,104000,103875
"416","417",136,104000,104250,104125
"417","418",107,104250,104500,104375
"418","419",114,104500,104750,104625
"419","420",109,104750,105000,104875
"420","421",64,105000,105250,105125
"421","422",45,105250,105500,105375
"422","423",80,105500,105750,105625
"423","424",116,105750,106000,105875
"424","425",99,106000,106250,106125
"425","426",118,106250,106500,106375
"426","427",128,106500,106750,106625
"427","428",155,106750,107000,106875
"428","429",181,107000,107250,107125
"429","430",163,107250,107500,107375
"430","431",135,107500,107750,107625
"431","432",143,107750,108000,107875
"432","433",152,108000,108250,108125
"433","434",170,108250,108500,108375
"434","435",171,108500,108750,108625
"435","436",127,108750,109000,108875
"436","437",89,109000,109250,109125
"437","438",64,109250,109500,109375
"438","439",147,109500,109750,109625
"439","440",192,109750,110000,109875
"440","441",181,110000,110250,110125
"441","442",176,110250,110500,110375
"442","443",186,110500,110750,110625
"443","444",178,110750,111000,110875
"444","445",181,111000,111250,111125
"445","446",176,111250,111500,111375
"446","447",158,111500,111750,111625
"447","448",107,111750,112000,111875
"448","449",11,112000,112250,112125
"449","450",4,112250,112500,112375
"450","451",54,112500,112750,112625
"451","452",118,112750,113000,112875
"452","453",119,113000,113250,113125
"453","454",126,113250,113500,113375
"454","455",160,113500,113750,113625
"455","456",210,113750,114000,113875
"456","457",160,114000,114250,114125
"457","458",135,114250,114500,114375
"458","459",68,114500,114750,114625
"459","460",59,114750,115000,114875
"460","461",44,115000,115250,115125
"461","462",83,115250,115500,115375
"462","463",127,115500,115750,115625
"463","464",160,115750,116000,115875
"464","465",180,116000,116250,116125
"465","466",192,116250,116500,116375
"466","467",219,116500,116750,116625
"467","468",139,116750,117000,116875
"468","469",121,117000,117250,117125
"469","470",190,117250,117500,117375
"470","471",165,117500,117750,117625
"471","472",204,117750,118000,117875
"472","473",236,118000,118250,118125
"473","474",226,118250,118500,118375
"474","475",219,118500,118750,118625
"475","476",192,118750,119000,118875
"476","477",210,119000,119250,119125
"477","478",223,119250,119500,119375
"478","479",215,119500,119750,119625
"479","480",224,119750,120000,119875
"480","481",211,120000,120250,120125
"481","482",199,120250,120500,120375
"482","483",212,120500,120750,120625
"483","484",231,120750,121000,120875
"484","485",230,121000,121250,121125
"485","486",218,121250,121500,121375
"486","487",210,121500,121750,121625
"487","488",230,121750,122000,121875
"488","489",215,122000,122250,122125
"489","490",168,122250,122500,122375
"490","491",213,122500,122750,122625
"491","492",229,122750,123000,122875
"492","493",223,123000,123250,123125
"493","494",215,123250,123500,123375
"494","495",225,123500,123750,123625
"495","496",61,123750,124000,123875
"496","497",92,124000,124250,124125
"497","498",196,124250,124500,124375
"498","499",185,124500,124750,124625
"499","500",145,124750,125000,124875
"500","501",175,125000,125250,125125
"501","502",163,125250,125500,125375
"502","503",171,125500,125750,125625
"503","504",191,125750,126000,125875
"504","505",55,126000,126250,126125
"505","506",115,126250,126500,126375
"506","507",181,126500,126750,126625
"507","508",150,126750,127000,126875
"508","509",139,127000,127250,127125
"509","510",198,127250,127500,127375
"510","511",218,127500,127750,127625
"511","512",177,127750,128000,127875
"512","513",196,128000,128250,128125
"513","514",227,128250,128500,128375
"514","515",226,128500,128750,128625
"515","516",190,128750,129000,128875
"516","517",193,129000,129250,129125
"517","518",188,129250,129500,129375
"518","519",205,129500,129750,129625
"519","520",176,129750,130000,129875
"520","521",174,130000,130250,130125
"521","522",210,130250,130500,130375
"522","523",183,130500,130750,130625
"523","524",194,130750,131000,130875
"524","525",185,131000,131250,131125
"525","526",167,131250,131500,131375
"526","527",190,131500,131750,131625
"527","528",193,131750,132000,131875
"528","529",185,132000,132250,132125
"529","530",197,132250,132500,132375
"530","531",210,132500,132750,132625
"531","532",238,132750,133000,132875
"532","533",230,133000,133250,133125
"533","534",197,133250,133500,133375
"534","535",199,133500,133750,133625
"535","536",179,133750,134000,133875
"536","537",164,134000,134250,134125
"537","538",169,134250,134500,134375
"538","539",206,134500,134750,134625
"539","540",218,134750,135000,134875
"540","541",230,135000,135250,135125
"541","542",235,135250,135500,135375
"542","543",230,135500,135750,135625
"543","544",240,135750,136000,135875
"544","545",237,136000,136250,136125
"545","546",225,136250,136500,136375
"546","547",214,136500,136750,136625
"547","548",50,136750,137000,136875
"548","549",3,137000,137250,137125
"549","551",15,137500,137750,137625
"550","552",11,137750,138000,137875
"551","553",140,138000,138250,138125
"552","554",217,138250,138500,138375
"553","555",161,138500,138750,138625
"554","556",93,138750,139000,138875
"555","557",161,139000,139250,139125
"556","558",99,139250,139500,139375
"557","559",158,139500,139750,139625
"558","560",246,139750,140000,139875
"559","561",243,140000,140250,140125
"560","562",212,140250,140500,140375
"561","563",144,140500,140750,140625
"562","564",152,140750,141000,140875
"563","565",153,141000,141250,141125
"564","566",76,141250,141500,141375
"565","567",91,141500,141750,141625
"566","568",186,141750,142000,141875
"567","569",217,142000,142250,142125
"568","570",201,142250,142500,142375
"569","571",183,142500,142750,142625
"570","572",163,142750,143000,142875
"571","573",200,143000,143250,143125
"572","574",203,143250,143500,143375
"573","575",150,143500,143750,143625
"574","576",120,143750,144000,143875
"575","577",128,144000,144250,144125
"576","578",182,144250,144500,144375
"577","579",130,144500,144750,144625
"578","580",164,144750,145000,144875
"579","581",201,145000,145250,145125
"580","582",182,145250,145500,145375
"581","583",80,145500,145750,145625
"582","584",79,145750,146000,145875
"583","585",174,146000,146250,146125
"584","586",235,146250,146500,146375
"585","587",230,146500,146750,146625
"586","588",223,146750,147000,146875
"587","589",212,147000,147250,147125
"588","590",190,147250,147500,147375
"589","591",76,147500,147750,147625
"590","592",168,147750,148000,147875
"591","593",207,148000,148250,148125
"592","594",173,148250,148500,148375
"593","595",198,148500,148750,148625
"594","596",227,148750,149000,148875
"595","597",237,149000,149250,149125
"596","598",223,149250,149500,149375
"597","599",204,149500,149750,149625
"598","600",215,149750,150000,149875
"599","601",146,150000,150250,150125
"600","602",31,150250,150500,150375
"601","603",2,150500,150750,150625
